"winner","red_kd_rnd_1","blue_kd_rnd_1","red_sig_str_rnd_1","red_sig_str_attempt_rnd_1","blue_sig_str_rnd_1","blue_sig_str_attempt_rnd_1","red_tot_str_rnd_1","red_tot_str_attempt_rnd_1","blue_tot_str_rnd_1","blue_tot_str_attempt_rnd_1","red_td_rnd_1","red_td_attempt_rnd_1","blue_td_rnd_1","blue_td_attempt_rnd_1","red_sub_attempt_rnd_1","blue_sub_attempt_rnd_1","red_ctrl_time_rnd_1","blue_ctrl_time_rnd_1","red_kd_rnd_2","blue_kd_rnd_2","red_sig_str_rnd_2","red_sig_str_attempt_rnd_2","blue_sig_str_rnd_2","blue_sig_str_attempt_rnd_2","red_tot_str_rnd_2","red_tot_str_attempt_rnd_2","blue_tot_str_rnd_2","blue_tot_str_attempt_rnd_2","red_td_rnd_2","red_td_attempt_rnd_2","blue_td_rnd_2","blue_td_attempt_rnd_2","red_sub_attempt_rnd_2","blue_sub_attempt_rnd_2","red_ctrl_time_rnd_2","blue_ctrl_time_rnd_2","red_kd_rnd_3","blue_kd_rnd_3","red_sig_str_rnd_3","red_sig_str_attempt_rnd_3","blue_sig_str_rnd_3","blue_sig_str_attempt_rnd_3","red_tot_str_rnd_3","red_tot_str_attempt_rnd_3","blue_tot_str_rnd_3","blue_tot_str_attempt_rnd_3","red_td_rnd_3","red_td_attempt_rnd_3","blue_td_rnd_3","blue_td_attempt_rnd_3","red_sub_attempt_rnd_3","blue_sub_attempt_rnd_3","red_ctrl_time_rnd_3","blue_ctrl_time_rnd_3","red_sig_str_head_rnd_1","red_sig_str_head_attempt_rnd_1","blue_sig_str_head_rnd_1","blue_sig_str_head_attempt_rnd_1","red_sig_str_body_rnd_1","red_sig_str_body_attempt_rnd_1","blue_sig_str_body_rnd_1","blue_sig_str_body_attempt_rnd_1","red_sig_str_leg_rnd_1","red_sig_str_leg_attempt_rnd_1","blue_sig_str_leg_rnd_1","blue_sig_str_leg_attempt_rnd_1","red_sig_str_dist_rnd_1","red_sig_str_dist_attempt_rnd_1","blue_sig_str_dist_rnd_1","blue_sig_str_dist_attempt_rnd_1","red_sig_str_clinch_rnd_1","red_sig_str_clinch_attempt_rnd_1","blue_sig_str_clinch_rnd_1","blue_sig_str_clinch_attempt_rnd_1","red_sig_str_gnd_rnd_1","red_sig_str_gnd_attempt_rnd_1","blue_sig_str_gnd_rnd_1","blue_sig_str_gnd_attempt_rnd_1","red_sig_str_head_rnd_2","red_sig_str_head_attempt_rnd_2","blue_sig_str_head_rnd_2","blue_sig_str_head_attempt_rnd_2","red_sig_str_body_rnd_2","red_sig_str_body_attempt_rnd_2","blue_sig_str_body_rnd_2","blue_sig_str_body_attempt_rnd_2","red_sig_str_leg_rnd_2","red_sig_str_leg_attempt_rnd_2","blue_sig_str_leg_rnd_2","blue_sig_str_leg_attempt_rnd_2","red_sig_str_dist_rnd_2","red_sig_str_dist_attempt_rnd_2","blue_sig_str_dist_rnd_2","blue_sig_str_dist_attempt_rnd_2","red_sig_str_clinch_rnd_2","red_sig_str_clinch_attempt_rnd_2","blue_sig_str_clinch_rnd_2","blue_sig_str_clinch_attempt_rnd_2","red_sig_str_gnd_rnd_2","red_sig_str_gnd_attempt_rnd_2","blue_sig_str_gnd_rnd_2","blue_sig_str_gnd_attempt_rnd_2","red_sig_str_head_rnd_3","red_sig_str_head_attempt_rnd_3","blue_sig_str_head_rnd_3","blue_sig_str_head_attempt_rnd_3","red_sig_str_body_rnd_3","red_sig_str_body_attempt_rnd_3","blue_sig_str_body_rnd_3","blue_sig_str_body_attempt_rnd_3","red_sig_str_leg_rnd_3","red_sig_str_leg_attempt_rnd_3","blue_sig_str_leg_rnd_3","blue_sig_str_leg_attempt_rnd_3","red_sig_str_dist_rnd_3","red_sig_str_dist_attempt_rnd_3","blue_sig_str_dist_rnd_3","blue_sig_str_dist_attempt_rnd_3","red_sig_str_clinch_rnd_3","red_sig_str_clinch_attempt_rnd_3","blue_sig_str_clinch_rnd_3","blue_sig_str_clinch_attempt_rnd_3","red_sig_str_gnd_rnd_3","red_sig_str_gnd_attempt_rnd_3","blue_sig_str_gnd_rnd_3","blue_sig_str_gnd_attempt_rnd_3"
"red",1,0,26,56,15,32,29,59,17,34,0,0,0,0,0,0,83,0,0,0,29,78,23,47,29,78,24,48,0,0,0,1,0,0,0,0,0,0,35,96,27,65,35,96,28,67,0,0,0,0,0,0,0,8,21,51,6,21,4,4,8,10,1,1,1,1,18,42,15,31,1,1,0,0,7,13,0,1,21,64,12,32,8,14,11,15,0,0,0,0,29,78,23,47,0,0,0,0,0,0,0,0,28,85,17,53,6,10,9,11,1,1,1,1,35,96,26,64,0,0,1,1,0,0,0,0
"red",0,0,21,40,26,45,24,43,29,49,0,0,1,3,0,0,21,80,0,0,32,75,49,85,38,81,52,88,0,0,2,2,0,0,0,60,0,0,55,102,43,79,72,119,44,80,0,0,1,3,0,0,0,58,4,17,5,19,4,5,12,16,13,18,9,10,17,36,19,38,4,4,7,7,0,0,0,0,20,60,28,56,6,8,14,21,6,7,7,8,30,73,42,77,2,2,4,4,0,0,3,4,31,75,29,61,20,23,11,14,4,4,3,4,50,96,40,72,5,6,3,7,0,0,0,0
"red",0,0,37,87,24,64,39,89,26,66,0,0,0,0,0,0,0,5,0,0,37,80,23,70,46,89,35,82,0,0,0,2,0,0,0,81,0,0,60,104,33,76,61,105,45,88,0,0,0,3,0,0,0,80,25,69,21,60,10,15,3,4,2,3,0,0,32,80,19,59,5,7,5,5,0,0,0,0,26,65,17,61,7,11,5,7,4,4,1,2,35,78,18,63,2,2,5,7,0,0,0,0,51,89,27,68,9,15,6,8,0,0,0,0,56,99,29,72,4,5,4,4,0,0,0,0
"blue",0,1,6,12,19,25,13,19,31,37,0,2,1,3,0,0,187,43,0,0,30,50,17,56,30,50,17,56,0,0,0,1,0,0,0,0,0,0,8,15,19,30,23,30,34,46,0,0,0,0,0,0,198,0,6,12,10,16,0,0,6,6,0,0,3,3,6,12,6,11,0,0,6,6,0,0,7,8,22,42,12,47,6,6,3,6,2,2,2,3,30,50,17,56,0,0,0,0,0,0,0,0,6,13,10,19,2,2,5,7,0,0,4,4,8,15,15,26,0,0,4,4,0,0,0,0
"blue",0,0,4,14,10,19,4,15,19,30,0,0,2,3,0,0,0,103,0,0,8,18,5,18,29,43,18,32,0,0,1,3,0,0,14,161,0,0,17,25,3,5,38,49,14,18,1,1,2,2,0,0,39,201,2,12,3,11,2,2,0,0,0,0,7,8,4,14,10,19,0,0,0,0,0,0,0,0,7,17,2,15,1,1,2,2,0,0,1,1,7,17,5,18,1,1,0,0,0,0,0,0,10,15,3,5,7,10,0,0,0,0,0,0,7,11,3,5,4,5,0,0,6,9,0,0
"red",0,1,21,35,33,61,23,37,45,74,1,4,0,0,0,0,84,57,0,0,1,2,4,4,59,85,10,12,1,2,0,0,1,0,288,0,0,0,5,11,6,17,70,96,48,68,1,2,0,0,0,0,264,8,4,15,28,55,1,1,1,2,16,19,4,4,21,35,30,57,0,0,0,0,0,0,3,4,0,1,2,2,0,0,0,0,1,1,2,2,1,2,4,4,0,0,0,0,0,0,0,0,3,9,6,16,0,0,0,1,2,2,0,0,4,10,6,17,0,0,0,0,1,1,0,0
"blue",0,0,29,74,24,65,29,74,24,65,0,0,0,0,0,0,0,0,0,0,27,92,31,81,27,93,31,81,0,1,0,0,0,0,10,0,0,0,42,107,45,109,42,107,45,109,0,0,0,0,0,0,0,0,5,42,15,52,15,21,5,9,9,11,4,4,29,74,24,65,0,0,0,0,0,0,0,0,19,66,21,70,3,18,4,5,5,8,6,6,27,91,31,81,0,1,0,0,0,0,0,0,16,74,30,90,22,29,5,8,4,4,10,11,42,107,45,109,0,0,0,0,0,0,0,0
"red",0,0,6,11,8,11,45,59,9,13,2,6,0,0,1,0,215,24,0,0,3,3,2,6,56,60,2,6,1,1,0,0,2,0,280,4,0,0,7,10,7,18,10,13,25,36,2,4,1,1,0,0,160,48,3,8,3,6,1,1,3,3,2,2,2,2,6,11,7,10,0,0,1,1,0,0,0,0,2,2,1,5,0,0,0,0,1,1,1,1,1,1,2,6,0,0,0,0,2,2,0,0,4,7,1,10,3,3,6,8,0,0,0,0,5,8,2,13,2,2,5,5,0,0,0,0
"red",0,0,13,24,13,44,20,32,16,47,2,3,0,2,0,0,134,0,0,0,11,35,17,40,15,40,17,40,2,3,3,3,0,0,58,48,0,0,11,32,17,43,20,45,23,49,3,6,0,2,0,0,145,0,7,17,6,32,5,6,3,8,1,1,4,4,12,23,12,41,1,1,1,3,0,0,0,0,6,28,5,27,4,6,9,10,1,1,3,3,11,33,17,39,0,0,0,1,0,2,0,0,8,29,10,35,1,1,7,8,2,2,0,0,8,27,16,41,2,2,1,2,1,3,0,0
"blue",0,0,7,24,13,28,21,42,20,35,1,1,1,4,0,0,41,108,0,0,5,10,9,15,15,22,25,40,0,0,2,4,0,0,0,248,0,0,3,5,1,2,36,61,19,23,0,1,2,4,0,1,132,96,4,13,9,24,1,8,3,3,2,3,1,1,7,24,13,28,0,0,0,0,0,0,0,0,2,6,5,11,2,3,2,2,1,1,2,2,4,8,4,7,1,2,2,2,0,0,3,6,2,4,0,1,1,1,1,1,0,0,0,0,0,2,0,0,1,1,1,2,2,2,0,0
